Years,predicted_mean,% Change
2018,232.0,
2019,9.988082136619695,-95.69479218249151
2020,6.939740808694999,-30.519786343650935
2021,6.014379528013769,-13.334234032513425
2022,3.4807398227568367,-42.126368870733025
2023,7.322425677444888,110.36980786588452
2024,8.778591707197222,19.8863886626768
2025,8.778591707197222,0.0
2026,8.778591707197222,0.0
2027,8.778591707197222,0.0
2028,8.778591707197222,0.0
2029,8.778591707197222,0.0
2030,8.778591707197222,0.0
2031,8.778591707197222,0.0
2032,8.778591707197222,0.0
