Years,predicted_mean,% Change
2018,232.0,
2019,528.7423436604787,127.90618261227529
2020,495.8417766928071,-6.222419551250846
2021,226.54221717445654,-54.31159135370554
2022,247.9944146216684,9.469403855393477
2023,499.99468239082137,101.61529974519618
2024,512.3925110803239,2.479592108904005
2025,512.3925110803239,0.0
2026,512.3925110803239,0.0
2027,512.3925110803239,0.0
2028,512.3925110803239,0.0
2029,512.3925110803239,0.0
2030,512.3925110803239,0.0
2031,512.3925110803239,0.0
2032,512.3925110803239,0.0
