Years,predicted_mean,% Change
2018,232.0,
2019,3751.1780928251287,1516.8871089763484
2020,3517.5319044601342,-6.228608255414192
2021,1949.194824403141,-44.58629296491624
2022,2231.8726016309065,14.502284414505539
2023,3546.222826891069,58.89002016959755
2024,3634.2576148666813,2.4824945377950547
2025,3634.2576148666813,0.0
2026,3634.2576148666813,0.0
2027,3634.2576148666813,0.0
2028,3634.2576148666813,0.0
2029,3634.2576148666813,0.0
2030,3634.2576148666813,0.0
2031,3634.2576148666813,0.0
2032,3634.2576148666813,0.0
