Years,predicted_mean,% Change
2018,232.0,
2019,4029.384297084147,1636.8035763293738
2020,3873.577456389394,-3.866765471029965
2021,1915.1808003915437,-50.55782872671131
2022,1977.0853889240902,3.232310417893225
2023,3876.0035732921497,96.04634149875699
2024,3951.5873291329517,1.950043502581278
2025,3951.5873291329517,0.0
2026,3951.5873291329517,0.0
2027,3951.5873291329517,0.0
2028,3951.5873291329517,0.0
2029,3951.5873291329517,0.0
2030,3951.5873291329517,0.0
2031,3951.5873291329517,0.0
2032,3951.5873291329517,0.0
