#publisher,California Health and Human Services 
#name,YEAR,COUNTY,# of Deaths
#datatype,'int','str','int'

YEAR,COUNTY,# of Deaths
2016,Alameda,1622
2016,Amador,38
2016,Butte,394
2016,Calaveras,10
2016,Colusa,2
2016,Contra Costa,1058
2016,Del Norte,24
2016,El Dorado,80
2016,Fresno,1452
2016,Glenn,0
2016,Humboldt,160
2016,Imperial,118
2016,Inyo,24
2016,Kern,970
2016,Kings,116
2016,Lake,14
2016,Lassen,2
2016,Los Angeles,11330
2016,Madera,34
2016,Marin,264
2016,Mariposa,4
2016,Mendocino,68
2016,Merced,114
2016,Modoc,2
2016,Mono,0
2016,Monterey,448
2016,Napa,218
2016,Nevada,70
2016,Orange,3184
2016,Placer,624
2016,Plumas,10
2016,Riverside,2302
2016,Sacramento,2486
2016,San Benito,44
2016,San Bernardino,2222
2016,San Diego,3882
2016,San Francisco,1422
2016,San Joaquin,770
2016,San Luis Obispo,228
2016,San Mateo,822
2016,Santa Barbara,552
2016,Santa Clara,2262
2016,Santa Cruz,130
2016,Shasta,478
2016,Siskiyou,30
2016,Solano,500
2016,Sonoma,530
2016,Stanislaus,842
2016,Tehama,42
2016,Trinity,2
2016,Tulare,608
2016,Tuolumne,90
2016,Ventura,918
2016,Yolo,76
2016,Yuba,222
2017,Alameda,1852
2017,Amador,32
2017,Butte,376
2017,Calaveras,6
2017,Contra Costa,1004
2017,Del Norte,54
2017,El Dorado,66
2017,Fresno,1550
2017,Glenn,0
2017,Humboldt,146
2017,Imperial,84
2017,Inyo,16
2017,Kern,956
2017,Kings,112
2017,Lake,10
2017,Lassen,8
2017,Los Angeles,10764
2017,Madera,28
2017,Marin,258
2017,Mariposa,2
2017,Mendocino,94
2017,Merced,50
2017,Modoc,2
2017,Mono,0
2017,Monterey,424
2017,Napa,242
2017,Nevada,64
2017,Orange,3302
2017,Placer,600
2017,Plumas,6
2017,Riverside,2236
2017,Sacramento,2588
2017,San Benito,40
2017,San Bernardino,2210
2017,San Diego,3480
2017,San Francisco,1516
2017,San Joaquin,598
2017,San Luis Obispo,230
2017,San Mateo,780
2017,Santa Barbara,588
2017,Santa Clara,2298
2017,Santa Cruz,182
2017,Shasta,508
2017,Siskiyou,28
2017,Solano,544
2017,Sonoma,384
2017,Stanislaus,796
2017,Tehama,30
2017,Trinity,2
2017,Tulare,620
2017,Tuolumne,64
