Geography,Year,Numerator,Denominator
Alameda,2007,107.0,21522.0
Alameda,2007-2009,4913.0,1378297.0
Alameda,2008,81.0,20977.0
Alameda,2008-2010,4804.0,1331159.0
Alameda,2009,82.0,20326.0
Alameda,2009-2011,4786.0,1287315.0
Alameda,2010,101.0,19307.0
Alameda,2010-2012,4618.0,1268887.0
Alameda,2011,80.0,19004.0
Alameda,2011-2013,4346.0,1265827.0
Alameda,2012,74.0,19551.0
Alameda,2012-2014,4340.0,1279585.0
Alameda,2013,88.0,19250.0
Alameda,2013-2015,4862.0,1392172.0
Alameda,2014,82.0,19661.0
Alameda,2014-2016,4562.0,1401026.0
Alameda,2015,77.0,19445.0
Alameda,2015-2017,4389.0,1384646.0
Alameda,2016,73.0,19577.0
Alameda,2016-2018,4188.0,1356914.0
Alameda,2017,71.0,18897.0
Alameda,2017-2019,3871.0,1324904.0
Alameda,2018,67.0,18228.0
Alameda,2018-2020,3713.0,1285827.0
Alameda,2019,56.0,18198.0
Alameda,2019-2021,3497.0,1254043.0
Alameda,2020,64.0,17301.0
Alameda,2021,56.0,16934.0
Alpine,2007,0.0,13.0
Alpine,2007-2009,0.0,648.0
Alpine,2008,0.0,13.0
Alpine,2008-2010,0.0,456.0
Alpine,2009,0.0,4.0
Alpine,2009-2011,0.0,305.0
Alpine,2010,0.0,4.0
Alpine,2010-2012,0.0,392.0
Alpine,2011,0.0,6.0
Alpine,2011-2013,0.0,418.0
Alpine,2012,0.0,8.0
Alpine,2012-2014,0.0,419.0
Alpine,2013,0.0,5.0
Alpine,2013-2015,0.0,334.0
Alpine,2014,0.0,6.0
Alpine,2014-2016,0.0,372.0
Alpine,2015,0.0,3.0
Alpine,2015-2017,0.0,394.0
Alpine,2016,0.0,7.0
Alpine,2016-2018,0.0,543.0
Alpine,2017,0.0,7.0
Alpine,2017-2019,0.0,637.0
Alpine,2018,0.0,9.0
Alpine,2018-2020,0.0,660.0
Alpine,2019,0.0,11.0
Alpine,2019-2021,0.0,584.0
Alpine,2020,0.0,8.0
Alpine,2021,0.0,6.0
Amador,2007,0.0,294.0
Amador,2007-2009,0.0,19303.0
Amador,2008,0.0,288.0
Amador,2008-2010,0.0,18824.0
Amador,2009,0.0,295.0
Amador,2009-2011,0.0,18426.0
Amador,2010,0.0,272.0
Amador,2010-2012,0.0,18228.0
Amador,2011,0.0,270.0
Amador,2011-2013,0.0,17993.0
Amador,2012,0.0,285.0
Amador,2012-2014,0.0,18434.0
Amador,2013,0.0,261.0
Amador,2013-2015,0.0,20487.0
Amador,2014,0.0,291.0
Amador,2014-2016,0.0,21571.0
Amador,2015,0.0,305.0
Amador,2015-2017,0.0,21876.0
Amador,2016,0.0,307.0
Amador,2016-2018,0.0,21878.0
Amador,2017,0.0,304.0
Amador,2017-2019,0.0,22017.0
Amador,2018,0.0,305.0
Amador,2018-2020,0.0,21249.0
Amador,2019,0.0,313.0
Amador,2019-2021,0.0,22392.0
Amador,2020,0.0,272.0
Amador,2021,0.0,352.0
Butte,2007,21.0,2523.0
Butte,2007-2009,747.0,164342.0
Butte,2008,14.0,2521.0
Butte,2008-2010,568.0,162896.0
Butte,2009,12.0,2440.0
Butte,2009-2011,549.0,160087.0
Butte,2010,11.0,2454.0
Butte,2010-2012,537.0,159249.0
Butte,2011,13.0,2392.0
Butte,2011-2013,636.0,158524.0
Butte,2012,11.0,2397.0
Butte,2012-2014,649.0,160633.0
Butte,2013,16.0,2417.0
Butte,2013-2015,589.0,175974.0
Butte,2014,14.0,2482.0
Butte,2014-2016,489.0,177784.0
Butte,2015,0.0,2442.0
Butte,2015-2017,460.0,175652.0
Butte,2016,13.0,2491.0
Butte,2016-2018,498.0,175118.0
Butte,2017,11.0,2389.0
Butte,2017-2019,434.0,167057.0
Butte,2018,0.0,2420.0
Butte,2018-2020,347.0,157314.0
Butte,2019,12.0,2150.0
Butte,2019-2021,372.0,148683.0
Butte,2020,0.0,1984.0
Butte,2021,10.0,2057.0
Calaveras,2007,0.0,397.0
Calaveras,2007-2009,0.0,24403.0
Calaveras,2008,0.0,373.0
Calaveras,2008-2010,0.0,23275.0
Calaveras,2009,0.0,338.0
Calaveras,2009-2011,0.0,22235.0
Calaveras,2010,0.0,346.0
Calaveras,2010-2012,0.0,22431.0
Calaveras,2011,0.0,326.0
Calaveras,2011-2013,0.0,22212.0
Calaveras,2012,0.0,347.0
Calaveras,2012-2014,0.0,22692.0
Calaveras,2013,0.0,337.0
Calaveras,2013-2015,0.0,25443.0
Calaveras,2014,0.0,348.0
Calaveras,2014-2016,0.0,26336.0
Calaveras,2015,0.0,380.0
Calaveras,2015-2017,0.0,28098.0
Calaveras,2016,0.0,375.0
Calaveras,2016-2018,0.0,28015.0
Calaveras,2017,0.0,421.0
Calaveras,2017-2019,0.0,28692.0
Calaveras,2018,0.0,376.0
Calaveras,2018-2020,0.0,27291.0
Calaveras,2019,0.0,401.0
Calaveras,2019-2021,0.0,27704.0
Calaveras,2020,0.0,363.0
Calaveras,2021,0.0,392.0
California,2007,51275.0,11814811.0
California,2007-2009,154033.0,36010526.0
California,2008,52333.0,12077666.0
California,2008-2010,144839.0,34819912.0
California,2009,47376.0,11551731.0
California,2009-2011,136285.0,33762660.0
California,2010,45106.0,11190515.0
California,2010-2012,131016.0,33264671.0
California,2011,43775.0,11020414.0
California,2011-2013,129160.0,32932564.0
California,2012,42109.0,11053742.0
California,2012-2014,126852.0,32960336.0
California,2013,47774.0,11819516.0
California,2013-2015,137780.0,35607528.0
California,2014,45801.0,12025125.0
California,2014-2016,132179.0,35476966.0
California,2015,44158.0,11762887.0
California,2015-2017,126512.0,34744039.0
California,2016,42179.0,11688954.0
